step,epoch,loss,f1,loss,precision,recall
11200,43.57976653696498,0.06303505599498749,0.8595600676818951,0.06303505599498749,0.9219600725952813,0.8050713153724247
11250,43.77431906614786,0.0018,,0.0018,,
11300,43.96887159533074,0.060144562274217606,0.8658743633276741,0.060144562274217606,0.9323583180987203,0.8082408874801902
11350,44.16342412451362,0.0022,,0.0022,,
11400,44.3579766536965,0.06969146430492401,0.8667805294619984,0.06969146430492401,0.9398148148148148,0.8042789223454834
11450,44.552529182879375,0.0019,,0.0019,,
11500,44.747081712062254,0.06637563556432724,0.8541839270919636,0.06637563556432724,0.8949652777777778,0.8169572107765452
11550,44.94163424124513,0.0015,,0.0015,,
11600,45.13618677042802,0.056300126016139984,0.8650021159542954,0.056300126016139984,0.9282470481380564,0.8098256735340729
11650,45.3307392996109,0.0008,,0.0008,,
11700,45.525291828793776,0.06175825372338295,0.8573832562053009,0.06175825372338295,0.9139013452914798,0.8074484944532488
11750,45.719844357976655,0.0009,,0.0009,,
11800,45.91439688715953,0.059833917766809464,0.8563049853372434,0.059833917766809464,0.9084444444444445,0.8098256735340729
11850,46.10894941634241,0.001,,0.001,,
11900,46.30350194552529,0.05872722342610359,0.8500414250207124,0.05872722342610359,0.890625,0.8129952456418383
11950,46.49805447470817,0.0011,,0.0011,,
12000,46.69260700389105,0.06414171308279037,0.8623619371282923,0.06414171308279037,0.9294871794871795,0.8042789223454834
12050,46.88715953307393,0.0007,,0.0007,,
12100,47.08171206225681,0.06284759193658829,0.859178541492037,0.06284759193658829,0.9119217081850534,0.812202852614897
12150,47.27626459143969,0.0015,,0.0015,,
12200,47.47081712062257,0.06610028445720673,0.8548523206751054,0.06610028445720673,0.9142599277978339,0.8026941362916006
12250,47.66536964980545,0.0014,,0.0014,,
12300,47.85992217898833,0.06665129214525223,0.8610994544691565,0.06665129214525223,0.9152542372881356,0.8129952456418383
12350,48.054474708171206,0.001,,0.001,,
12400,48.249027237354085,0.06281668692827225,0.8597739640016744,0.06281668692827225,0.9112688553682342,0.8137876386687797
12450,48.44357976653696,0.0013,,0.0013,,
12500,48.63813229571984,0.0632302388548851,0.8670371953826421,0.0632302388548851,0.9415041782729805,0.803486529318542
12550,48.83268482490272,0.0014,,0.0014,,
12600,49.02723735408561,0.06721016764640808,0.8477094510936855,0.06721016764640808,0.8845822566752799,0.8137876386687797
12650,49.221789883268485,0.0014,,0.0014,,
12700,49.416342412451364,0.05735174939036369,0.8533333333333333,0.05735174939036369,0.8998242530755711,0.8114104595879557
12750,49.61089494163424,0.001,,0.001,,
12800,49.80544747081712,0.06100725382566452,0.8654576128215943,0.06100725382566452,0.9251577998196574,0.8129952456418383
12850,50.0,0.0011,,0.0011,,
12900,50.19455252918288,0.062217239290475845,0.8631935620499789,0.062217239290475845,0.9272065514103731,0.8074484944532488
12950,50.38910505836576,0.001,,0.001,,
13000,50.583657587548636,0.05548063665628433,0.8625314333612742,0.05548063665628433,0.9154804270462633,0.8153724247226625
13050,50.778210116731515,0.0011,,0.0011,,
13100,50.97276264591439,0.06226939707994461,0.8546583850931677,0.06226939707994461,0.8950563746747615,0.8177496038034865
13150,51.16731517509728,0.0009,,0.0009,,
13200,51.36186770428016,0.05510686710476875,0.8629908103592314,0.05510686710476875,0.9125441696113075,0.8185419968304279
13250,51.55642023346304,0.001,,0.001,,
13300,51.750972762645915,0.06627487391233444,0.8633514417049729,0.06627487391233444,0.9133510167992926,0.8185419968304279
13350,51.945525291828794,0.0014,,0.0014,,
13400,52.14007782101167,0.0722242146730423,0.8452429563086974,0.0722242146730423,0.8719460825610783,0.8201267828843106
13450,52.33463035019455,0.0006,,0.0006,,
13500,52.52918287937743,0.061431076377630234,0.8625632377740303,0.061431076377630234,0.9216216216216216,0.8106180665610143
13550,52.72373540856031,0.0017,,0.0017,,
13600,52.91828793774319,0.06881526857614517,0.8614864864864866,0.06881526857614517,0.9222423146473779,0.8082408874801902
13650,53.11284046692607,0.0006,,0.0006,,
13700,53.30739299610895,0.07024672627449036,0.8489090160559902,0.07024672627449036,0.8834618680377035,0.8169572107765452
13750,53.50194552529183,0.0007,,0.0007,,
13800,53.69649805447471,0.060512322932481766,0.8638853771597135,0.060512322932481766,0.9225922592259226,0.812202852614897
13850,53.89105058365759,0.0009,,0.0009,,
13900,54.08560311284047,0.066358782351017,0.8623005877413937,0.066358782351017,0.9169642857142857,0.8137876386687797
13950,54.280155642023345,0.0021,,0.0021,,
14000,54.474708171206224,0.06005949527025223,0.8754813863928114,0.06005949527025223,0.9516279069767442,0.8106180665610143
14050,54.6692607003891,0.0007,,0.0007,,
14100,54.86381322957198,0.06810063123703003,0.8529900332225914,0.06810063123703003,0.8961605584642234,0.8137876386687797
14150,55.05836575875487,0.0006,,0.0006,,
14200,55.252918287937746,0.07037505507469177,0.8609715242881073,0.07037505507469177,0.9129662522202486,0.8145800316957211
14250,55.447470817120625,0.0008,,0.0008,,
14300,55.6420233463035,0.06331194937229156,0.852202552490737,0.06331194937229156,0.8868894601542416,0.8201267828843106
14350,55.83657587548638,0.0011,,0.0011,,
14400,56.03112840466926,0.0658264309167862,0.8530140379851362,0.0658264309167862,0.8905172413793103,0.8185419968304279
14450,56.22568093385214,0.0011,,0.0011,,
14500,56.42023346303502,0.06724104285240173,0.8341384863123993,0.06724104285240173,0.8477905073649754,0.820919175911252
14550,56.6147859922179,0.0017,,0.0017,,
14600,56.809338521400775,0.06298478692770004,0.8532338308457711,0.06298478692770004,0.8947826086956522,0.8153724247226625
14650,57.00389105058366,0.0012,,0.0012,,
14700,57.19844357976654,0.0674898773431778,0.8623310810810811,0.0674898773431778,0.9231464737793852,0.8090332805071315
14750,57.39299610894942,0.0008,,0.0008,,
14800,57.5875486381323,0.06554009765386581,0.8637705609447489,0.06554009765386581,0.9233543733092876,0.8114104595879557
14850,57.782101167315176,0.0007,,0.0007,,
14900,57.976653696498055,0.06497059017419815,0.8571428571428571,0.06497059017419815,0.9063604240282686,0.8129952456418383
14950,58.17120622568093,0.0006,,0.0006,,
